MU_Name,CU_Name,CU_ID,ReturnYear,Escapement
IF Coho,Middle_Fraser,1,1998,4851
IF Coho,Middle_Fraser,1,1999,1652
IF Coho,Middle_Fraser,1,2000,3920
IF Coho,Middle_Fraser,1,2001,6162
IF Coho,Middle_Fraser,1,2002,4170
IF Coho,Middle_Fraser,1,2003,3809
IF Coho,Middle_Fraser,1,2004,4760
IF Coho,Middle_Fraser,1,2005,2189
IF Coho,Middle_Fraser,1,2006,1301
IF Coho,Middle_Fraser,1,2007,9958
IF Coho,Middle_Fraser,1,2008,1464
IF Coho,Middle_Fraser,1,2009,2306
IF Coho,Middle_Fraser,1,2010,4689
IF Coho,Middle_Fraser,1,2011,3920
IF Coho,Middle_Fraser,1,2012,7126
IF Coho,Middle_Fraser,1,2013,11625
IF Coho,Middle_Fraser,1,2014,3081
IF Coho,Middle_Fraser,1,2015,1354
IF Coho,Middle_Fraser,1,2016,13600
IF Coho,Middle_Fraser,1,2017,4001
IF Coho,Middle_Fraser,1,2018,3544
IF Coho,Middle_Fraser,1,2019,3994
IF Coho,Middle_Fraser,1,2020,8037
IF Coho,Fraser_Canyon,2,1998,5460
IF Coho,Fraser_Canyon,2,1999,4096
IF Coho,Fraser_Canyon,2,2000,2719
IF Coho,Fraser_Canyon,2,2001,5971
IF Coho,Fraser_Canyon,2,2002,3817
IF Coho,Fraser_Canyon,2,2003,4552
IF Coho,Fraser_Canyon,2,2004,5872
IF Coho,Fraser_Canyon,2,2005,2269
IF Coho,Fraser_Canyon,2,2006,1605
IF Coho,Fraser_Canyon,2,2007,2739
IF Coho,Fraser_Canyon,2,2008,1138
IF Coho,Fraser_Canyon,2,2009,2308
IF Coho,Fraser_Canyon,2,2010,2227
IF Coho,Fraser_Canyon,2,2011,3189
IF Coho,Fraser_Canyon,2,2012,5134
IF Coho,Fraser_Canyon,2,2013,5398
IF Coho,Fraser_Canyon,2,2014,1048
IF Coho,Fraser_Canyon,2,2015,352
IF Coho,Fraser_Canyon,2,2016,1160
IF Coho,Fraser_Canyon,2,2017,1657
IF Coho,Fraser_Canyon,2,2018,4916
IF Coho,Fraser_Canyon,2,2019,3259
IF Coho,Fraser_Canyon,2,2020,5311
IF Coho,Lower_Thompson,3,1998,2165
IF Coho,Lower_Thompson,3,1999,3992
IF Coho,Lower_Thompson,3,2000,4739
IF Coho,Lower_Thompson,3,2001,9522
IF Coho,Lower_Thompson,3,2002,16053
IF Coho,Lower_Thompson,3,2003,2933
IF Coho,Lower_Thompson,3,2004,4304
IF Coho,Lower_Thompson,3,2005,2614
IF Coho,Lower_Thompson,3,2006,1082
IF Coho,Lower_Thompson,3,2007,10169
IF Coho,Lower_Thompson,3,2008,3800
IF Coho,Lower_Thompson,3,2009,4768
IF Coho,Lower_Thompson,3,2010,12217
IF Coho,Lower_Thompson,3,2011,7289
IF Coho,Lower_Thompson,3,2012,11559
IF Coho,Lower_Thompson,3,2013,11887
IF Coho,Lower_Thompson,3,2014,7447
IF Coho,Lower_Thompson,3,2015,5182
IF Coho,Lower_Thompson,3,2016,13369
IF Coho,Lower_Thompson,3,2017,4103
IF Coho,Lower_Thompson,3,2018,7152
IF Coho,Lower_Thompson,3,2019,13217
IF Coho,Lower_Thompson,3,2020,18406
IF Coho,North_Thompson,4,1998,9786
IF Coho,North_Thompson,4,1999,10696
IF Coho,North_Thompson,4,2000,8054
IF Coho,North_Thompson,4,2001,27238
IF Coho,North_Thompson,4,2002,22083
IF Coho,North_Thompson,4,2003,7211
IF Coho,North_Thompson,4,2004,10661
IF Coho,North_Thompson,4,2005,4518
IF Coho,North_Thompson,4,2006,3670
IF Coho,North_Thompson,4,2007,24500
IF Coho,North_Thompson,4,2008,3849
IF Coho,North_Thompson,4,2009,9631
IF Coho,North_Thompson,4,2010,12159
IF Coho,North_Thompson,4,2011,8803
IF Coho,North_Thompson,4,2012,20058
IF Coho,North_Thompson,4,2013,16271
IF Coho,North_Thompson,4,2014,5244
IF Coho,North_Thompson,4,2015,3178
IF Coho,North_Thompson,4,2016,16914
IF Coho,North_Thompson,4,2017,11908
IF Coho,North_Thompson,4,2018,11429
IF Coho,North_Thompson,4,2019,15485
IF Coho,North_Thompson,4,2020,26239
IF Coho,South_Thompson,5,1998,5155
IF Coho,South_Thompson,5,1999,3137
IF Coho,South_Thompson,5,2000,3307
IF Coho,South_Thompson,5,2001,13063
IF Coho,South_Thompson,5,2002,10544
IF Coho,South_Thompson,5,2003,3422
IF Coho,South_Thompson,5,2004,15850
IF Coho,South_Thompson,5,2005,2302
IF Coho,South_Thompson,5,2006,2003
IF Coho,South_Thompson,5,2007,12345
IF Coho,South_Thompson,5,2008,6688
IF Coho,South_Thompson,5,2009,3821
IF Coho,South_Thompson,5,2010,8946
IF Coho,South_Thompson,5,2011,4771
IF Coho,South_Thompson,5,2012,13303
IF Coho,South_Thompson,5,2013,13132
IF Coho,South_Thompson,5,2014,2270
IF Coho,South_Thompson,5,2015,2392
IF Coho,South_Thompson,5,2016,15023
IF Coho,South_Thompson,5,2017,2796
IF Coho,South_Thompson,5,2018,6147
IF Coho,South_Thompson,5,2019,8075
IF Coho,South_Thompson,5,2020,15180
