"","Estimate","Stock","LL","UL","Param"
"TestlnSMSYo",335,"Artlish",167,672,"SMSY"
"TestlnSMSYo.1",528,"Bedwell/Ursus",274,1018,"SMSY"
"TestlnSMSYo.2",535,"Kaouk",278,1029,"SMSY"
"TestlnSMSYo.3",1332,"Megin",741,2395,"SMSY"
"TestlnSMSYo.4",617,"Moyeha",325,1174,"SMSY"
"TestlnSMSYo.5",926,"Tahsish",503,1707,"SMSY"
"TestlnSMSYo.6",2536,"Clayoquot",1459,4407,"SMSY"
"TestlnSMSYo.7",1838,"Kyuquot",1041,3243,"SMSY"
"TestlnSMSYo.8",1838,"WCVI Nootka & Kyuquot",1041,3243,"SMSY"
"TestlnSMSYo.9",2536,"WCVI South",1459,4407,"SMSY"
"TestlnSREPo",975,"Artlish",467,2036,"SREP"
"TestlnSREPo.1",1534,"Bedwell/Ursus",768,3066,"SREP"
"TestlnSREPo.2",1552,"Kaouk",777,3099,"SREP"
"TestlnSREPo.3",3834,"Megin",2064,7123,"SREP"
"TestlnSREPo.4",1790,"Moyeha",908,3528,"SREP"
"TestlnSREPo.5",2675,"Tahsish",1403,5100,"SREP"
"TestlnSREPo.6",7255,"Clayoquot",4048,13004,"SREP"
"TestlnSREPo.7",5273,"Kyuquot",2895,9606,"SREP"
"TestlnSREPo.8",5273,"WCVI Nootka & Kyuquot",2895,9606,"SREP"
"TestlnSREPo.9",7255,"WCVI South",4048,13004,"SREP"
